"통계분류(1)",통계분류(2),2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2011,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2013,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2015,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2019,2019,2019,2019,2019,2019,2019,2019,2019,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,역사 지리,가정육아요리,시소설수필,무협판타지추리소설,예술문화,재테크부동산,어학컴퓨터,과학 기술,기 타,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,재테크부동산,어학컴퓨터,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),역사 지리,가정육아요리,예술문화,문학도서,사례수,계,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,예술문화,재테크부동산,문학도서,사례수,취미오락여행건강,경제 경영,철학 사상 종교,자기계발서,정치사회시사,소설( 장르 소설 포함),가정육아요리,문학도서,사례수,취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,정치사회시사,소설( 장르 소설 포함),어학 외국어,역사 지리,가정육아요리,사례수,소설(동화 장르소설),취미오락여행건강,경제 경영,수필,철학 사상 종교,시(동시),재테크,자기계발서,과학기술컴퓨터,정치사회시사,기 타
"전체",소계,100,19.3,5.7,8.7,7.3,5.8,2.6,6.1,25.9,8.4,3.9,3.8,1.4,0.8,0.2,1427,100,12.1,7.3,10.9,9.4,3.9,10.2,2.9,6.3,3.7,3.3,2.2,26.6,3267,11.5,6.8,9.9,9,3.9,12.8,3.6,5.5,3.7,27,3592,100,10.9,7.6,10.3,9.2,4.7,13,2.7,3.8,5.4,4,2.8,23.7,3128,10,7.4,8.6,10.3,3.7,14.4,4.3,29.5,2443,6.3,6.2,11.5,7.7,3.4,7.8,7.5,5.4,26.5,4.8,4.4,4.1,1616,31.4,10.2,10,8,7.8,6.5,5.4,5.2,3.2,3,9.1
"성별",남성,100,15.5,9,9.7,7.4,9.7,3.2,1.6,22.5,11.6,2.5,4,1.6,1.2,0.3,698,100,12,12.1,11,9.2,5.7,11.5,4,1.7,3.1,4.2,3.2,20.8,1622,10.8,9.4,9.9,9.5,5.2,13.1,4.3,2.7,3.1,24.7,1740,100,9.8,10.9,10.1,9.2,6.6,13.2,2.6,4.6,2.4,3.4,3,21.2,1507,10.2,11.4,8.5,11.2,6.1,14.8,0.8,23.1,1207,5.5,9,9.2,8.4,2.8,9.8,8.2,8.2,21.7,4.9,5.2,1.5,781,25,10.7,14.3,6.1,8.6,5.3,7.3,6.4,3.8,4.7,7.9
"성별",여성,100,22.9,2.5,7.7,7.2,2,2,10.5,29.1,5.3,5.2,3.7,1.2,0.5,0.2,729,100,12.2,2.7,10.8,9.5,2.2,9,2,10.6,4.3,2.4,1.3,32.3,1644,12.2,4.2,9.9,8.6,2.6,12.5,2.9,8.3,4.4,29.3,1852,100,11.9,4.5,10.5,9.1,2.9,12.8,2.7,3,8.1,4.6,2.5,26,1621,9.7,3.6,8.7,9.4,1.5,14,7.6,35.6,1236,7.1,3.5,13.9,7.1,4,5.8,6.8,2.5,31.1,4.7,3.5,6.7,836,37.3,9.8,6,9.8,7.2,7.6,3.7,4.1,2.6,1.5,10.3
"연령별",19~29세,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,789,9.4,6,7.6,12,3.8,15.6,3.6,2.8,4.4,28.5,787,100,8,8.4,5.4,11.7,4,17.7,5.9,2.8,1.8,5.6,1.3,24.2,744,7.1,7,3.7,12,3.9,20,1.5,31.8,613,3.6,5.8,9.8,3.2,1.9,5.8,11.1,3.9,30.6,12.2,3.4,1.7,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",20대 이하,100,16.4,4.7,5.2,9,3,2.8,2.4,30.6,14.9,5.2,1,3.2,1.4,0,341,100,9.8,6.4,6.6,13.3,3,13.1,2.4,3.2,4.8,1,4.2,30.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,374,35.1,9.7,9,6.3,4.2,5.3,3.1,10,6.6,1.7,9
"연령별",30~39세,100,18.9,4.9,7.9,6.5,4.4,2.4,7,28.2,10.2,3.3,4,1.4,0.8,0.2,319,100,11.8,8.1,6.5,11.2,3.5,10.8,3.2,10.8,3,3.1,2.6,24.6,718,12.2,6.1,7,9.6,3.7,13.3,2.7,9,3.8,24.9,737,100,11.6,6.3,6.5,7.7,3.1,14.9,2.7,3.1,11.3,3.5,3.5,23.6,702,10.5,7,2.7,12,3,13.4,10.1,29,543,5.5,5,11.3,3.5,2.8,8.8,8,4.2,30.8,5.2,3.6,7.1,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",30대,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,350,29.1,9.1,11.5,10.7,4.8,4.9,5.2,5.7,2.7,2,14.4
"연령별",40~49세,100,18.1,5.9,7.7,8.3,7.8,1.8,8.6,25.5,5.3,3.4,6,0.8,0.7,0,329,100,12.2,7.9,10.5,9.8,3.1,9.9,3.2,7,3.9,4.1,2,25.8,744,12.7,9.1,7.3,8.4,3.6,13.5,3.8,6.8,3.1,25.5,754,100,10.9,9.1,8.4,10,4.8,11.7,2.4,3.9,6.4,3.3,4.4,23.2,667,8.8,9.4,7.3,11.3,3.4,15,4.1,29.1,499,7.2,7.3,11.9,6.2,3.2,11.2,6.5,5.2,26,1.2,4.7,5,-,-,-,-,-,-,-,-,-,-,-,-
