"통계분류(1)",통계분류(2),2023,2023,2023,2023,2023,2023
"통계분류(1)",통계분류(2),사례수,매일,일주일에 한두번,한달에 한두번,몇달에 한번,이용하지 않음
"전체",소계,5000,1.3,15.9,14.8,11,57
"성별",남성,2485,1.1,15.9,14.3,11.3,57.4
"성별",여성,2515,1.6,15.8,15.2,10.8,56.6
"연령별",20대 이하,789,3,34.5,25.2,11.7,25.5
"연령별",30대,772,1.3,23.9,28,14.9,32
"연령별",40대,905,1.6,13.6,16,16.6,52.1
"연령별",50대,973,1.3,11.2,12.1,12.3,63.1
"연령별",60대 이상,1560,0.4,6.6,4,4.7,84.3
"학력별",중졸 이하,642,0,1.7,2.8,2.9,92.6
"학력별",고졸 고퇴,1772,0.7,7.3,6.4,8.9,76.6
"학력별",대재 이상,2586,2.1,25.2,23.5,14.5,34.7
"월평균가구소득",200만원 미만,373,0.2,1.7,3.3,4.7,90.2
"월평균가구소득",200-300만원 미만,580,1,8.3,8.8,9.5,72.3
"월평균가구소득",300-400만원 미만,961,1,10.5,10.9,13.7,63.9
"월평균가구소득",400-500만원 미만,1041,1.1,14.6,18.1,12.9,53.3
"월평균가구소득",500만원 이상,2046,1.9,23.7,18.7,10.4,45.3
"연간 독서량",없음,2850,0,0,0,0,100
"연간 독서량",1~5권,1061,0.9,21.2,33.8,44.1,0
"연간 독서량",6~10권,573,1.9,41.9,42.6,13.6,0
"연간 독서량",11~15권,241,6.2,54.2,39,0.6,0
"연간 독서량",16~20권,95,8.3,71.4,18.8,1.4,0
"연간 독서량",21권 이상,179,13,72.2,13.4,1.3,0
