"특성별(1)",특성별(2),2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"특성별(1)",특성별(2),사례수 (명),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),독서시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),운동 및 신체활동 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),스마트폰을 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),컴퓨터를 가지고 노는 시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),TV 시청시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%),친구들과 노는 시간 (%)
"특성별(1)",특성별(2),소계,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말,평일,평일,평일,평일,평일,평일,평일,주말,주말,주말,주말,주말,주말,주말
"특성별(1)",특성별(2),소계,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상,전혀 안함,30분 미만,30분~1시간 미만,1시간~2시간 미만,2시간~3시간 미만,3시간~4시간 미만,4시간 이상
"전체",소계,2242,40.5,29.9,18.2,7.3,2.4,1.1,0.6,41.1,25.6,18.9,10.0,3.3,0.5,0.5,28.6,27.3,23.4,13.0,4.6,1.8,1.2,26.0,22.0,25.4,17.2,6.4,1.5,1.6,2.4,11.2,21.1,29.1,20.3,8.3,7.7,2.0,6.9,15.2,20.3,23.0,14.9,17.7,47.0,19.8,16.8,10.3,3.5,1.4,1.3,36.0,13.4,19.8,15.1,8.4,4.1,3.1,38.3,28.5,19.3,9.5,3.0,0.9,0.4,22.6,23.2,26.3,18.0,7.4,1.9,0.5,14.5,26.1,26.4,21.5,7.2,2.1,2.2,9.3,13.0,23.2,22.9,18.2,8.7,4.7
"성별",남자,1155,41.6,30.4,17.5,6.2,2.8,0.9,0.5,43.4,25.7,18.2,8.7,3.0,0.5,0.4,22.7,25.5,25.4,17.3,5.4,2.1,1.6,19.0,18.1,27.4,22.1,8.8,2.2,2.5,2.5,11.6,22.1,29.6,21.3,7.7,5.2,2.3,6.8,15.8,21.9,23.7,15.3,14.1,36.7,21.7,19.9,12.8,5.1,1.9,1.9,23.2,12.6,20.8,19.6,12.2,6.2,5.3,39.7,28.8,19.8,8.1,2.3,0.8,0.5,23.8,24.2,26.8,16.3,6.4,2.0,0.6,14.3,25.3,27.0,22.7,6.7,2.2,1.8,8.5,12.5,24.0,25.1,18.8,7.8,3.2
"성별",여자,1087,39.3,29.3,18.9,8.5,2.0,1.3,0.7,38.8,25.5,19.7,11.4,3.6,0.5,0.6,34.9,29.3,21.2,8.4,3.6,1.6,0.9,33.5,26.2,23.2,12.0,3.8,0.7,0.6,2.3,10.8,19.9,28.6,19.1,9.0,10.3,1.8,7.0,14.5,18.7,22.2,14.4,21.5,58.0,17.7,13.4,7.6,1.8,0.9,0.7,49.5,14.3,18.8,10.3,4.4,1.9,0.9,36.8,28.2,18.8,11.0,3.8,1.1,0.3,21.3,22.2,25.8,19.8,8.5,1.9,0.4,14.8,26.9,25.6,20.3,7.8,1.9,2.7,10.2,13.5,22.4,20.5,17.5,9.6,6.3
"학력별(부)",고졸 이하,487,45.8,29.5,16.0,4.9,3.2,0.1,0.6,49.2,23.1,17.2,7.2,2.5,0.2,0.5,30.1,23.4,25.4,13.0,5.7,1.2,1.2,30.9,19.8,23.2,17.2,6.4,0.9,1.7,1.6,9.5,18.3,22.9,27.1,9.3,11.3,0.9,4.5,14.3,16.3,26.6,13.3,24.2,48.6,17.6,15.4,10.4,3.5,1.9,2.5,39.1,9.3,19.8,12.8,9.2,4.1,5.7,33.3,28.9,20.5,10.0,6.1,0.1,1.0,19.2,22.0,24.5,20.5,9.9,2.9,0.9,13.9,23.2,27.0,19.3,9.8,2.8,4.0,9.9,12.7,20.2,22.3,18.6,11.0,5.2
"학력별(부)",대졸,1439,39.7,29.4,19.4,7.7,2.1,1.4,0.4,39.7,25.3,19.9,11.0,3.3,0.4,0.3,29.1,28.6,22.3,12.8,4.2,1.9,1.1,24.8,22.6,26.3,16.6,6.3,1.7,1.6,2.4,12.2,22.0,30.5,18.2,8.1,6.6,2.4,7.4,16.3,21.3,21.4,15.9,15.3,46.4,20.4,17.8,9.7,3.6,1.3,0.8,34.5,14.8,20.5,15.9,7.9,3.9,2.5,38.9,28.5,20.0,8.9,2.3,1.2,0.2,22.6,23.3,27.4,17.9,6.8,1.6,0.5,14.6,27.4,25.6,22.3,6.9,1.6,1.6,8.5,12.7,24.8,22.6,18.7,8.5,4.3
"학력별(부)",대학원졸 이상,227,35.9,36.5,13.4,10.5,1.2,1.0,1.6,33.2,34.3,15.9,9.7,4.9,0.7,1.3,21.7,31.1,24.2,13.4,4.6,2.9,2.1,22.3,26.3,24.5,17.7,6.1,1.5,1.7,3.3,11.4,20.2,35.1,17.6,7.6,4.8,2.4,10.3,10.5,22.8,25.6,12.9,15.4,49.2,23.4,11.6,11.8,2.3,0.5,1.3,40.7,15.6,17.5,13.8,7.0,3.2,2.2,41.5,30.5,13.4,13.2,0.8,0.6,0.0,25.5,27.6,22.1,16.4,7.0,1.4,0.0,15.4,26.5,28.0,21.5,3.4,3.3,1.9,14.0,17.7,19.6,22.7,14.2,7.1,4.6
