"통계분류(1)",통계분류(2),2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),사례수,들음,듣지 않음,사례수,들음,듣지 않음
"전체",소계,6000,3.5,96.5,6000,4.5,95.5
"성별",남성,2990,2.8,97.2,2991,4.7,95.3
"성별",여성,3010,4.1,95.9,3009,4.4,95.6
"연령별",19~29세,1057,6.5,93.5,1016,12,88
"연령별",30~39세,1022,6.2,93.8,964,8.8,91.2
"연령별",40~49세,1158,4.2,95.8,1123,3.9,96.1
"연령별",50~59세,1192,1.6,98.4,1173,1,99
"연령별",60세 이상,1571,0.6,99.4,1724,0.6,99.4
"학력별",중졸 이하,934,0.4,99.6,900,0,100
"학력별",고졸/고퇴,2127,1.3,98.7,2136,1.4,98.6
"학력별",대재 이상,2939,6,94,2964,8.2,91.8
"가구소득별",200만원 미만,954,0.6,99.4,715,1,99
"가구소득별",200~300만원 미만,920,1.6,98.4,888,1.6,98.4
"가구소득별",300~400만원 미만,1515,3.2,96.8,1412,4,96
"가구소득별",400~500만원 미만,1290,4,96,1521,5.5,94.5
"가구소득별",500만원 이상,1321,6.7,93.3,1464,7.6,92.4
