"지역(1)",2012,2012,2012,2012,2013,2013,2013,2013,2014,2014,2014,2014,2015,2015,2015,2015,2016,2016,2016,2016,2017,2017,2017,2017,2018,2018,2018,2018,2019,2019,2019,2019,2020,2020,2020,2020,2021,2021,2021,2021,2022,2022,2022,2022,2023,2023,2023,2023
"지역(1)",전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립
"도서관 수 (개)",828,576,232,20,865,614,232,19,930,679,232,19,978,725,232,21,1010,758,231,21,1042,791,231,20,1096,840,233,23,1134,876,234,24,1172,914,235,23,1208,949,235,24,1236,976,235,25,1271,1008,235,28
"총 연면적 (천㎡)",2111,1425,667,18,2204,1514,671,19,2347,1663,665,19,2465,1763,682,20,2561,1845,696,21,2648,1927,701,20,2792,2043,726,23,2899,2140,736,22,3001,2232,747,22,3136,2362,750,23,3155,2385,745,24,3247,2462,759,26
"1관당 평균 연면적 (㎡)",2550,2474,2879,916,2548,2466,2893,1008,2524,2449,2867,1017,2521,2432,2940,958,2536,2433,3011,997,2542,2436,3036,1016,2545,2429,3114,999,2556,2443,3146,947,2561,2442,3179,967,2596,2489,3196,969,2522,2444,3170,977,2555,2442,3230,935
"총 좌석 수 (개)",314880,197673,114569,2638,324915,208143,114047,2725,340952,224459,113906,2587,353593,236452,114526,2615,359490,244348,112432,2710,357748,247751,107801,2196,368227,258594,107014,2619,367664,260973,104042,2649,367699,263814,101317,2568,366558,266736,97047,2775,359075,266745,89558,2772,357837,268262,86568,3007
"1관당 평균 좌석 수 (개)",380,0,0,0,376,0,0,0,367,0,0,0,362,326,494,125,356,322,487,129,343,313,467,110,336,308,459,114,324,298,445,110,314,289,431,112,303,281,413,116,291,273,381,111,282,266,368,107
"총 결산 예산액 (천원)",694244,463220,228020,3004,744953,517109,224600,3243,732512,477734,251532,3247,825093,555506,266239,3348,908448,626970,277927,3550,995584,698915,293424,3245,1070056,750835,314773,4448,1147030,826416,316526,4089,1227309,903842,318821,4647,1250123827,880787326,363068243,6268258,1364767486,972584962,384958851,7223673,635356108,481266878,149993509,4095721
"1관당 결산 예산액 (천원)",838,804,983,150,861,842,968,171,788,704,1084,171,844,766,1148,159,899,827,1203,169,955,884,1270,162,972,893,1339,160,1011,943,1353,170,1047,989,1357,202,1034871,928122,1544971,261177,1104181,996501,1638123,288947,499887,477447,638270,146276
"직원 수 (명)",12489,7839,4567,83,13061,8404,4566,91,13936,9196,4643,97,14411,9883,4438,90,15192,10584,4507,101,15557,11075,4382,100,16576,11757,4704,115,17557,12380,5045,132,17634,12627,4892.5,114.5,18109,13018,4970.5,120.5,18460.5,13349.5,4993,118,19026,13850.5,5024.5,151
"1관당 직원 수 (명)",15.1,13.6,19.7,4.2,15.1,13.7,19.7,4.8,15,13.5,20,5.1,14.7,13.6,19.1,4.3,15,14,19.5,4.8,15,14,19,5,15.1,14,20.2,5,15.5,14.1,21.6,5.5,15,13.8,20.8,5,15,13.7,21.2,5,15,14,21,5,15,13.7,21.4,5.4
"사서자격증 보유자 수 (명)",4317,2425,1850,42,4586,2686,1860,40,4975,3030,1898,47,5370,3371,1950,49,5710,3685,1979,46,6035,4009,1977,49,6500,4399,2048,53,6794,4693,2044,57,6916,4918.5,1950,47.5,7401,5321.5,2029,50.5,-,-,-,-,-,-,-,-
"직원 중 사서자격증 보유자 수 (명)",34.6,30.9,40.5,50.6,35.1,32,40.7,44,35.7,32.9,40.9,48.5,37.3,34.1,43.9,54.4,37.6,34.8,43.9,45.5,38.8,36.2,45.1,49,39.8,38.4,43.1,45.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"1관당 평균 사서자격증 보유자 수 (명)",5.2,4.2,8,2.1,5.3,4.4,8,2.1,5.3,4.5,8.2,2.5,5.5,4.6,8.4,2.3,5.7,4.9,8.6,2.2,5.8,5.1,8.6,2.5,6,5.4,8.7,2.3,6,5.4,8.7,2.4,5.9,5.4,8.3,2.1,6.1,5.6,8.6,2.1,-,-,-,-,-,-,-,-
"총 도서(인쇄) 수 (천권)",78126501,47355857,30062250,708394,83970000,52209000,31059000,702000,89616000,57082000,31801000,733000,93838190,60714268,32377467,746455,98823835,65050319,33051315,722201,104965121,70608355,33642437,714329,111360408,76100507,34312905,946996,115075,79437,34686,952,118545,82831,34809,905,120936,85495,34480,960,122603,87704,33933,965,123670,89708,32975,986
"총 비도서 수 (점)",3279892,1768609,1479675,31608,3409679,1813785,1557086,38808,3830445,1993477,1805361,31607,3781465,2071669,1677122,32674,3821681,2091059,1699626,30996,6273667,4513550,1731504,28613,4109934,2327866,1746179,35889,4186905,2401687,1749870,35348,4232275,2493502,1717142,21631,4236196,2520023,1696195,19978,4177211,2524661,1631385,21165,4113499,2517524,1571153,24822
"총 연속간행물 수 (종)",140701,57798,82376,527,147454,75731,71194,529,129990,61006,68095,889,131392,63523,65121,2748,138403,74905,60800,2698,130189,66102,61301,2786,119950,62841,56203,906,117025,64369,52003,653,113708,62891,50126,691,106545,60491,45315,739,105057,63046,41251,760,98384,60682,36929,773
"총 전자자료 수 (종)",20322533,18986096,1332984,3453,26697138,25213950,1477510,5678,14347771,12480796,1863519,3456,10514194,8301085,2209649,3460,14537798,12301932,2232400,3466,18740785,15420662,3313215,6908,19483203,15975968,3499871,7364,32614176,28985929,3619919,8328,44158601,39828253,4321112,9236,55485166,46545989,8930710,8467,84289319,67201497,17073856,13966,607725333,537411593,70178965,134775
"1관당 평균 도서(인쇄) 수 (권)",94356,82215,129579,35420,97075,85031,133876,36928,96361,84068,137072,38579,95949,83744,139558,35545,97845,85818,143079,34391,100734,89265,145638,35716,101606,90596,147266,41174,101477,90682,148231,39667,101148,90625,148123,39348,100113,90091,146727,40006,99193,89861,144398,38608,97301,88996,140318,35246
"1관당 비도서 수 (점)",3961,3071,6378,1580,3942,2954,6712,2043,4119,2936,7782,1664,3867,2857,7229,1556,3784,2759,7358,1476,6021,5706,7496,1431,3752,2774,7494,1560,3692,2742,7478,1473,3611,2728,7307,940,3507,2655,7218,832,3380,2587,6942,847,3236,2498,6686,887
"1관당 연속간행물 수 (종)",170,100,355,26,170,123,307,28,140,90,294,47,134,88,281,131,137,99,263,128,125,84,265,139,110,75,242,39,103,73,222,27,97,69,213,30,88,64,193,31,85,65,176,30,77,60,157,28
"1관당 전자자료 수 (종)",24544,32962,5746,173,30864,41065,6369,299,15428,18381,8032,182,10751,11450,9524,165,14394,16229,9664,165,17985,19495,14343,345,17777,19019,15021,320,28760,33089,15470,347,37678,43576,18388,402,45931,49047,38003,353,68195,68854,72655,559,478147,533146,298634,4813
"총 방문자 수 (천명)",285406208,189031726,95229074,1145408,287018000,195061000,90921000,1037000,290608000,198867000,90877000,864000,281672237,192981198,87802626,888413,282040395,198913078,82278971,848346,272068981,193745865,77619177,703939,278234974,200964130,76298792,972052,284411,207314,76053,1044,89577,63232,26112,233,138938,101873,36740,325,175710,132691,42503,516,202263,154646,46990,627
"1관당 방문자 수 (명)",344696,328184,410470,57270,331813,317689,391899,54561,312481,292882,391710,45489,288008,266181,378460,42305,279248,262418,356186,40397,261103,244938,336014,35197,253464,238722,327463,42263,250804,236660,325015,43507,76431,69182,111115,10120,115016,107348,156341,13567,142160,135954,180863,20632,159137,153418,199958,22387
"연간 이용자 수 (명)",192028784,127566689,63462523,999572,200125561,138593893,60833331,698337,194571747,135806901,58263171,501675,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 자료실 이용자 수 (명)",-,-,-,-,-,-,-,-,-,-,-,-,194425423,138880325,55041604,503494,195051951,143901988,50717488,432475,191187830,143368249,47266614,552967,195570103,148556485,46281164,732454,202230166,155280443,46074089,875634,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"연간 대출 도서 수 (천권)",125539467,89516054,35052331,971082,130886082,95553551,34761918,570613,137975967,102827998,34561982,585987,127891750,95497590,31871334,522826,124121098,94866285,28787077,467736,126632457,98491250,27731496,409711,127230422,101090083,25679151,461188,133769,107321,25944,504,117726,101472,15826,429,133807,109570,23878,359,138214,113943,23899,373,139349,114462,24348,539
"자료 구입비 (백만원)",73375,48846,24198,331,71980,47291,24350,338,75440,51482,23673,285,77937,56169,21395,373,88441,64597,23487,357,98526,74252,23993,281,103429,77800,25281,349,108516,81141,27058,318,109893,82726,26877,290,111570,84328,26748,494,114950,85551,28782,617,115738,85835,29431,472
"1관당 자료 구입비 (백만원)",89,85,104,17,83,77,105,18,81,76,102,15,80,77,92,18,88,85,102,17,95,94,104,14,94,93,109,15,96,93,116,13,94,91,114,13,92,89,114,21,93,88,122,25,91,85,125,17
