"지역(1)",2015,2015,2015,2015,2017,2017,2017,2017,2019,2019,2019,2019,2021,2021,2021,2021,2023,2023,2023,2023
"지역(1)",전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립,전체(공공도서관),지자체,교육청,사립
"도서관 수 (개)",978,725,232,21,1042,791,231,20,1134,876,234,24,1208,949,235,24,1271,1008,235,28
"총 연면적 (천㎡)",2465,1763,682,20,2648,1927,701,20,2899,2140,736,22,3136,2362,750,23,3247,2462,759,26
"1관당 평균 연면적 (㎡)",2521,2432,2940,958,2542,2436,3036,1016,2556,2443,3146,947,2596,2489,3196,969,2555,2442,3230,935
"총 좌석 수 (개)",353593,236452,114526,2615,357748,247751,107801,2196,367664,260973,104042,2649,366558,266736,97047,2775,357837,268262,86568,3007
"1관당 평균 좌석 수 (개)",362,326,494,125,343,313,467,110,324,298,445,110,303,281,413,116,282,266,368,107
"총 결산 예산액 (천원)",825093,555506,266239,3348,995584,698915,293424,3245,1147030,826416,316526,4089,1250123827,880787326,363068243,6268258,635356108,481266878,149993509,4095721
"1관당 결산 예산액 (천원)",844,766,1148,159,955,884,1270,162,1011,943,1353,170,1034871,928122,1544971,261177,499887,477447,638270,146276
"직원 수 (명)",14411,9883,4438,90,15557,11075,4382,100,17557,12380,5045,132,18109,13018,4970.5,120.5,19026,13850.5,5024.5,151
"1관당 직원 수 (명)",14.7,13.6,19.1,4.3,15,14,19,5,15.5,14.1,21.6,5.5,15,13.7,21.2,5,15,13.7,21.4,5.4
"사서자격증 보유자 수 (명)",5370,3371,1950,49,6035,4009,1977,49,6794,4693,2044,57,7401,5321.5,2029,50.5,-,-,-,-
"직원 중 사서자격증 보유자 수 (명)",37.3,34.1,43.9,54.4,38.8,36.2,45.1,49,-,-,-,-,-,-,-,-,-,-,-,-
"1관당 평균 사서자격증 보유자 수 (명)",5.5,4.6,8.4,2.3,5.8,5.1,8.6,2.5,6,5.4,8.7,2.4,6.1,5.6,8.6,2.1,-,-,-,-
"총 도서(인쇄) 수 (천권)",93838190,60714268,32377467,746455,104965121,70608355,33642437,714329,115075,79437,34686,952,120936,85495,34480,960,123670,89708,32975,986
"총 비도서 수 (점)",3781465,2071669,1677122,32674,6273667,4513550,1731504,28613,4186905,2401687,1749870,35348,4236196,2520023,1696195,19978,4113499,2517524,1571153,24822
"총 연속간행물 수 (종)",131392,63523,65121,2748,130189,66102,61301,2786,117025,64369,52003,653,106545,60491,45315,739,98384,60682,36929,773
"총 전자자료 수 (종)",10514194,8301085,2209649,3460,18740785,15420662,3313215,6908,32614176,28985929,3619919,8328,55485166,46545989,8930710,8467,607725333,537411593,70178965,134775
"1관당 평균 도서(인쇄) 수 (권)",95949,83744,139558,35545,100734,89265,145638,35716,101477,90682,148231,39667,100113,90091,146727,40006,97301,88996,140318,35246
"1관당 비도서 수 (점)",3867,2857,7229,1556,6021,5706,7496,1431,3692,2742,7478,1473,3507,2655,7218,832,3236,2498,6686,887
"1관당 연속간행물 수 (종)",134,88,281,131,125,84,265,139,103,73,222,27,88,64,193,31,77,60,157,28
"1관당 전자자료 수 (종)",10751,11450,9524,165,17985,19495,14343,345,28760,33089,15470,347,45931,49047,38003,353,478147,533146,298634,4813
"총 방문자 수 (천명)",281672237,192981198,87802626,888413,272068981,193745865,77619177,703939,284411,207314,76053,1044,138938,101873,36740,325,202263,154646,46990,627
"1관당 방문자 수 (명)",288008,266181,378460,42305,261103,244938,336014,35197,250804,236660,325015,43507,115016,107348,156341,13567,159137,153418,199958,22387
"연간 자료실 이용자 수 (명)",194425423,138880325,55041604,503494,191187830,143368249,47266614,552967,202230166,155280443,46074089,875634,-,-,-,-,-,-,-,-
"연간 대출 도서 수 (천권)",127891750,95497590,31871334,522826,126632457,98491250,27731496,409711,133769,107321,25944,504,133807,109570,23878,359,139349,114462,24348,539
"자료 구입비 (백만원)",77937,56169,21395,373,98526,74252,23993,281,108516,81141,27058,318,111570,84328,26748,494,115738,85835,29431,472
"1관당 자료 구입비 (백만원)",80,77,92,18,95,94,104,14,96,93,116,13,92,89,114,21,91,85,125,17
