"통계분류(1)",통계분류(2),2013,2013,2013,2015,2015,2015,2017,2017,2017,2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음,사례수,읽음,안읽음
"전체",소계,2000,13.9,86.1,5000,10.2,89.8,6000,14.1,85.9,6000,16.5,83.5,6000,19,81
"성별",남성,993,14.7,85.3,2478,11.6,88.4,2988,15.8,84.2,2990,17.9,82.1,2991,20.1,79.9
"성별",여성,1007,13.1,86.9,2522,8.8,91.2,3012,12.3,87.7,3010,15.1,84.9,3009,17.9,82.1
"연령별",20대 이하,387,31.3,68.7,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",19~29세,-,-,-,911,27.8,72.2,1070,34.7,65.3,1057,39,61,1016,50.5,49.5
"연령별",30~39세,389,21.3,78.7,932,14.2,85.8,1071,22.7,77.3,1022,31.3,68.7,964,38.4,61.6
"연령별",40~49세,425,11,89,1030,7.7,92.3,1218,13.8,86.2,1158,14.4,85.6,1123,13.8,86.2
"연령별",50~59세,385,4.5,95.5,988,3.5,96.5,1190,3.5,96.5,1192,4.9,95.1,1173,5.2,94.8
"연령별",60세 이상,414,2.5,97.5,1140,1,99,1451,1.3,98.7,1571,2,98,1724,2.3,97.7
"학력별",중졸 이하,286,0.5,99.5,906,0.4,99.6,1002,1.4,98.6,934,0.6,99.4,900,0.2,99.8
"학력별",고졸 고퇴,748,6.3,93.7,1904,5.4,94.6,2120,5,95,2127,7,93,2136,5.6,94.4
"학력별",대재 이상,967,23.8,76.2,2190,18.4,81.6,2878,25.1,74.9,2939,28.4,71.6,2964,34.3,65.7
"소득수준별",200만원 미만,536,9.1,90.9,830,4.1,95.9,997,4.4,95.6,954,4.1,95.9,715,4.2,95.8
"소득수준별",200~300만원미만,-,-,-,1014,8,92,976,8.9,91.1,920,11.4,88.6,888,8.3,91.7
"소득수준별",200~500만원 미만,941,12.3,87.7,-,-,-,-,-,-,-,-,-,-,-,-
"소득수준별",300~400만원미만,-,-,-,1458,10.3,89.7,1768,13.1,86.9,1515,15.8,84.2,1412,18,82
"소득수준별",400~500만원 미만,-,-,-,987,12.5,87.5,1224,18.6,81.4,1290,20.4,79.6,1521,23.6,76.4
"소득수준별",500만원 이상,523,21.6,78.4,711,17.2,82.8,1035,24.5,75.5,1321,25.9,74.1,1464,28.8,71.2
