"통계분류(1)",통계분류(2),2013,2013,2013,2015,2015,2015,2017,2017,2017,2019,2019,2019,2021,2021,2021
"통계분류(1)",통계분류(2),사례수,읽음,읽지 않음,사례수,읽음,읽지 않음,사례수,읽음,읽지 않음,사례수,읽음,읽지 않음,사례수,읽음,읽지 않음
"전체",소계,2000,72.2,27.8,5000,67.4,32.6,6000,62.3,37.7,6000,55.4,44.6,6000,46.9,53.1
"성별",남성,993,71.4,28.6,2478,68.2,31.8,2988,61.3,38.7,2990,54.8,45.2,2991,47.5,52.5
"성별",여성,1007,73,27,2522,66.6,33.4,3012,63.3,36.7,3010,56.1,43.9,3009,46.3,53.7
"연령별",20대 이하,387,89,11,-,-,-,-,-,-,-,-,-,-,-,-
"연령별",19~29세,-,-,-,911,91.1,8.9,1070,78.7,21.3,1057,77.4,22.6,1016,77.4,22.6
"연령별",30~39세,389,83.4,16.6,932,80.5,19.5,1071,73.1,26.9,1022,75.1,24.9,964,68.2,31.8
"연령별",40~49세,425,77.6,22.4,1030,74.2,25.8,1218,64.3,35.7,1158,60.5,39.5,1123,49.2,50.8
"연령별",50~59세,385,62.9,37.1,988,61.1,38.9,1190,53.2,46.8,1192,44.5,55.5,1173,35.2,64.8
"연령별",60세 이상,414,48.4,51.6,1140,37.2,62.8,1451,48.1,51.9,1571,32.3,67.7,1724,23.6,76.4
"학력별",중졸 이하,286,33.5,66.5,906,30.9,69.1,1002,44.4,55.6,934,20.7,79.3,900,12.2,87.8
"학력별",고졸 고퇴,748,66,34,1904,63.4,36.6,2120,50.7,49.3,2127,41.6,58.4,2136,31.4,68.6
"학력별",대재 이상,967,88.5,11.5,2190,86,14,2878,77.1,22.9,2939,76.5,23.5,2964,68.7,31.3
"소득수준별",200만원 미만,536,59.8,40.2,830,43.7,56.3,997,50.6,49.4,954,29.9,70.1,715,20.2,79.8
"소득수준별",200~300만원미만,-,-,-,1014,62.9,37.1,976,54.3,45.7,920,47.8,52.2,888,31.1,68.9
"소득수준별",200~500만원 미만,941,71.5,28.5,-,-,-,-,-,-,-,-,-,-,-,-
"소득수준별",300~400만원미만,-,-,-,1458,69.4,30.6,1768,61.2,38.8,1515,54.2,45.8,1412,44.8,55.2
"소득수준별",400~500만원 미만,-,-,-,987,75.5,24.5,1224,68.7,31.3,1290,61.6,38.4,1521,53.6,46.4
"소득수준별",500만원 이상,523,86.2,13.4,711,86.2,13.8,1035,75.5,24.5,1321,74.6,25.4,1464,64.7,35.3
