"통계분류(1)",통계분류(2),2023,2023,2023
"통계분류(1)",통계분류(2),사례수,독서한 적 있음,독서한 적 없음
"전체",소계,5000,43,57
"성별",남성,2485,42.6,57.4
"성별",여성,2515,43.4,56.6
"연령별",20대 이하,789,74.5,25.5
"연령별",30대,772,68,32
"연령별",40대,905,47.9,52.1
"연령별",50대,973,36.9,63.1
"연령별",60대 이상,1560,15.7,84.3
"학력별",중졸 이하,642,7.4,92.6
"학력별",고졸 고퇴,1772,23.4,76.6
"학력별",대재 이상,2586,65.3,34.7
"월평균가구소득",200만원 미만,373,9.8,90.2
"월평균가구소득",200~300만원 미만,580,27.7,72.3
"월평균가구소득",300~400만원 미만,961,36.1,63.9
"월평균가구소득",400~500만원 미만,1041,46.7,53.3
"월평균가구소득",500만원 이상,2046,54.7,45.3
