title,isbn,writer,publisher,Pub_date,re_price,sa_price,genre
소년이 온다,9788936434120.0,한강 지음,창비,20140519.0,"15,000","13,500",소설/시/희곡
작별하지 않는다,9788954682152.0,한강 지음,문학동네,20210909.0,"16,800","15,120",소설/시/희곡
채식주의자 (리마스터판),9788936434595.0,한강 지음,창비,20220328.0,"17,000","15,300",소설/시/희곡
모순,9788998441012.0,양귀자 지음,쓰다,20130401.0,"13,000","11,700",소설/시/희곡
흰,9788954651134.0,"한강 지음, 최진혁 사진",문학동네,20180425.0,"14,500","13,050",소설/시/희곡
서랍에 저녁을 넣어 두었다,9788932024639.0,한강 지음,문학과지성사,20131115.0,"12,000","10,800",소설/시/희곡
급류,9788937473401.0,정대건 지음,민음사,20221222.0,"14,000","12,600",소설/시/희곡
스토너,9788925554990.0,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20150102.0,"16,800","15,120",소설/시/희곡
희랍어 시간,9788954616515.0,한강 지음,문학동네,20111110.0,"13,000","11,700",소설/시/희곡
데미안 (오리지널 초판본 표지디자인),9791187011590.0,"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,20170101.0,"3,300","2,970",소설/시/희곡
작은 땅의 야수들,9791130642574.0,"김주혜 지음, 박소현 옮김",다산책방,20230619.0,"18,000","16,200",소설/시/희곡
일본어 무작정 따라하기 완전판,9791165219956.0,후지이 아사리 지음,길벗이지톡,20220805.0,"26,000","23,400",외국어
코스모스,9788983711892.0,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220.0,"19,900","17,910",과학
삼국지 원전 완역판 세트 - 전10권,9791190669030.0,"요시카와 에이지 엮음, 바른번역 옮김, 나관중 원작",코너스톤,20200309.0,"22,000","19,800",소설/시/희곡
돈의 심리학 (30만 부 기념 스페셜 에디션),9791191056372.0,"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),20210113.0,"19,800","17,820",경제경영
싯다르타,9788937460586.0,"헤르만 헤세 지음, 박병덕 옮김",민음사,20020120.0,"8,000","7,200",소설/시/희곡
사피엔스,9788934972464.0,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20230401.0,"26,800","24,120",인문학
"데일 카네기 인간관계론 + 자기관리론 + 성공대화론 (합본, 무선)",9791164452712.0,"데일 카네기 지음, 베스트트랜스 옮김",더스토리,20200510.0,"8,800","7,920",자기계발
줬으면 그만이지,9791186351543.0,김주완 지음,피플파워,20230101.0,"20,000","18,000",인문학
긴긴밤,9788954677158.0,루리 지음,문학동네,20210203.0,"12,500","11,250",어린이
ETS 토익 단기 공략 750+ (LC + RC),9788917235944.0,ETS 지음,(주)YBM(와이비엠),20200820.0,"18,000","16,200",외국어
소년과 두더지와 여우와 말,9788997381678.0,"찰리 맥커시 지음, 이진경 옮김",상상의힘,20200420.0,"18,000","16,200",에세이
만화로 보는 3분 철학 1 : 서양 고대 철학편,9791190776752.0,김재훈.서정욱 지음,카시오페아,20210702.0,"16,000","14,400",인문학
ETS 토익기출 파트별 VOCA 보카,9788917237481.0,ETS 지음,(주)YBM(와이비엠),20221223.0,"13,000","11,700",외국어
이기적 유전자,9788932473901.0,"리처드 도킨스 지음, 홍영남.이상임 옮김",을유문화사,20181020.0,"20,000","18,000",과학
EBS 다큐프라임 자본주의,9788957365793.0,EBS 자본주의 제작팀 지음,가나출판사,20130927.0,"22,000","19,800",경제경영
디 에센셜 한강 (무선 보급판),9788954693462.0,한강 지음,문학동네,20230601.0,"17,000","15,300",소설/시/희곡
나는 소망한다 내게 금지된 것을,9788998441074.0,양귀자 지음,쓰다,20190420.0,"15,000","13,500",소설/시/희곡
"바람이 분다, 가라",9788932020006.0,한강 지음,문학과지성사,20100226.0,"14,000","12,600",소설/시/희곡
데미안,9788937460449.0,"헤르만 헤세 지음, 전영애 옮김",민음사,20001220.0,"8,000","7,200",소설/시/희곡
홍학의 자리,9788954681155.0,정해연 지음,엘릭시르,20210726.0,"14,000","12,600",소설/시/희곡
사피엔스 : 그래픽 히스토리 Vol.1,9788934991328.0,"다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색",김영사,20201123.0,"17,800","16,020",인문학
어떻게 민주주의는 무너지는가,9791160560589.0,"스티븐 레비츠키.대니얼 지블랫 지음, 박세연 옮김",어크로스,20181002.0,"16,800","15,120",사회과학
데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),9791187142560.0,"데일 카네기 지음, 임상훈 옮김",현대지성,20191007.0,"11,500","10,350",자기계발
초판본 어린 왕자 (무선),9791164455300.0,"앙투안 드 생텍쥐페리 지음, 김미정 옮김",더스토리,20211004.0,"2,990","2,700",소설/시/희곡
총 균 쇠,9788934942467.0,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,20230510.0,"29,800","26,820",인문학
구의 증명,9791167372864.0,최진영 지음,은행나무,20230426.0,"12,000","10,800",소설/시/희곡
지적 대화를 위한 넓고 얕은 지식 1,9791190313186.0,채사장 지음,웨일북,20200201.0,"19,000","17,100",인문학
언젠가 우리가 같은 별을 바라본다면,9791191061048.0,"차인표 지음, 제딧 그림",해결책,20211215.0,"12,000","10,800",청소년
진짜 쓰는 실무 엑셀,9791191600704.0,오빠두(전진권) 지음,제이펍,20220215.0,"21,000","18,900",컴퓨터/모바일
맡겨진 소녀,9791130698199.0,"클레어 키건 지음, 허진 옮김",다산책방,20230426.0,"13,000","11,700",소설/시/희곡
여수의 사랑,9788932034812.0,한강 지음,문학과지성사,20181109.0,"16,000","14,400",소설/시/희곡
