순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,소년이 온다,40869703 ,9788936434120 ,3810,한강 지음,창비,20140519,"15,000","13,500",750점,912199,소설/시/희곡
2,국내도서,작별하지 않는다,278770576 ,9788954682152 ,3810,한강 지음,문학동네,20210909,"16,800","15,120",840점,585615,소설/시/희곡
3,국내도서,채식주의자 (리마스터판),291370219 ,9788936434595 ,3810,한강 지음,창비,20220328,"17,000","15,300",850점,522162,소설/시/희곡
4,국내도서,모순,25843736 ,9788998441012 ,3810,양귀자 지음,쓰다,20130401,"13,000","11,700",650점,234484,소설/시/희곡
5,국내도서,흰,143220344 ,9788954651134 ,3810,"한강 지음, 최진혁 사진",문학동네,20180425,"14,500","13,050",720점,173809,소설/시/희곡
6,국내도서,서랍에 저녁을 넣어 두었다,33355947 ,9788932024639 ,3810,한강 지음,문학과지성사,20131115,"12,000","10,800",600점,189028,소설/시/희곡
7,국내도서,급류,307692409 ,9788937473401 ,4810,정대건 지음,민음사,20221222,"14,000","12,600",700점,101291,소설/시/희곡
8,국내도서,스토너,51001915 ,9788925554990 ,3840,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20150102,"16,800","15,120",840점,117268,소설/시/희곡
9,국내도서,희랍어 시간,13849130 ,9788954616515 ,3810,한강 지음,문학동네,20111110,"13,000","11,700",650점,123144,소설/시/희곡
10,국내도서,데미안 (오리지널 초판본 표지디자인),98710881 ,9791187011590 ,4850,"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,20170101,"3,300","2,970",160점,88536,소설/시/희곡
11,국내도서,작은 땅의 야수들,317934373 ,9791130642574 ,3840,"김주혜 지음, 박소현 옮김",다산책방,20230619,"18,000","16,200",900점,57613,소설/시/희곡
12,국내도서,일본어 무작정 따라하기 완전판,298773222 ,9791165219956 ,3730,후지이 아사리 지음,길벗이지톡,20220805,"26,000","23,400","1,300점",78134,외국어
13,국내도서,코스모스,870950 ,9788983711892 ,3400,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220,"19,900","17,910",990점,140425,과학
14,국내도서,삼국지 원전 완역판 세트 - 전10권,234135451 ,9791190669030 ,4830,"요시카와 에이지 엮음, 바른번역 옮김, 나관중 원작",코너스톤,20200309,"22,000","19,800","1,100점",43935,소설/시/희곡
15,국내도서,돈의 심리학 (30만 부 기념 스페셜 에디션),328520781 ,9791191056372 ,3320,"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),20210113,"19,800","17,820",990점,108283,경제경영
