순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1,국내도서,세이노의 가르침 (화이트 에디션),309295168 ,9791168473690 ,3190,세이노(SayNo) 지음,데이원,20230302,"7,200","6,480",360점,192782,자기계발
2,국내도서,도시와 그 불확실한 벽,323553082 ,9788954699075 ,3830,"무라카미 하루키 지음, 홍은주 옮김",문학동네,20230906,"19,500","17,550",970점,64469,소설/시/희곡
3,국내도서,도둑맞은 집중력,315599742 ,9791167740984 ,3180,"요한 하리 지음, 김하현 옮김",어크로스,20230428,"18,800","16,920",940점,89817,인문학
4,국내도서,문과 남자의 과학 공부,318773745 ,9791192836188 ,3400,유시민 지음,돌베개,20230623,"17,500","15,750",870점,44965,인문학
5,국내도서,슬램덩크 리소스-THE FIRST SLAM DUNK re:SOURCE,309366184 ,9791169794930 ,,이노우에 타케히코 지음,대원씨아이(만화),20230216,"20,000","18,000","1,000점",19698,만화
6,국내도서,퓨처 셀프 30만 부 기념 스페셜 에디션,347950596 ,9791198854315 ,3190,"벤저민 하디 지음, 최은아 옮김",상상스퀘어,20240925,"22,000","19,800","1,100점",69765,자기계발
7,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Reading (리딩),284153629 ,9788917238549 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,57725,외국어
8,국내도서,해커스 토익 기출 VOCA (보카),176021392 ,9788965422785 ,13740,David Cho 지음,해커스어학연구소(Hackers),20240819,"12,900","11,610",640점,220167,외국어
9,국내도서,ETS 토익 정기시험 기출문제집 1000 Vol. 3 Listening (리스닝),284153150 ,9788917238532 ,13740,ETS 엮음,(주)YBM(와이비엠),20211213,"17,800","16,020",890점,53233,외국어
10,국내도서,트렌드 코리아 2024,324439262 ,9788959897179 ,13320,김난도 외 지음,미래의창,20231005,"19,000","17,100",950점,53962,경제경영
11,국내도서,마흔에 읽는 쇼펜하우어,323615985 ,9791192300818 ,3160,강용수 지음,유노북스,20230907,"17,000","15,300",850점,133114,인문학
12,국내도서,김미경의 마흔 수업,309951192 ,9791198013026 ,3320,김미경 지음,어웨이크북스,20230215,"18,000","16,200",900점,13475,자기계발
13,국내도서,사장학개론,313250109 ,9791188331888 ,3320,김승호 지음,스노우폭스북스,20230419,"25,000","22,500","1,250점",29334,경제경영
14,국내도서,내면소통,311899364 ,9791168340855 ,,김주환 지음,인플루엔셜(주),20230227,"33,000","29,700","1,650점",53659,인문학
15,국내도서,원씽 The One Thing (리커버 특별판),120812491 ,9788997575169 ,"13190
","게리 켈러 & 제이 파파산 지음, 구세희 옮김",비즈니스북스,20130820,"14,000","12,600",700점,32323,자기계발
16,국내도서,최소한의 한국사,318885306 ,9791198243430 ,3910,최태성 지음,프런트페이지,20230621,"18,000","16,200",900점,39610,역사
17,국내도서,물고기는 존재하지 않는다,284657330 ,9791189327156 ,3400,"룰루 밀러 지음, 정지인 옮김",곰출판,20211217,"17,000","15,300",850점,97923,과학
18,국내도서,역행자 확장판,317300995 ,9788901272580 ,3320,자청 지음,웅진지식하우스,20230529,"19,500","17,550",970점,45403,자기계발
19,국내도서,슬램덩크 신장재편판 1,160820597 ,9791133487516 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180823,"7,000","6,300",350점,22941,만화
20,국내도서,슬램덩크 신장재편판 2,160820661 ,9791133487523 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180822,"6,500","5,850",320점,22592,만화
21,국내도서,BEYOND THE STORY 비욘드 더 스토리,318848042 ,9791198320902 ,3600,강명석.방탄소년단 (BTS) 지음,빅히트뮤직,20230709,"35,000","31,500",350점,12255,예술/대중문화
22,국내도서,슬램덩크 신장재편판 20,172142541 ,9791133487707 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"7,000","6,300",350점,21046,만화
23,국내도서,아주 희미한 빛으로도,321294005 ,9788954695053 ,3810,최은영 지음,문학동네,20230807,"16,800","15,120",840점,43431,소설/시/희곡
24,국내도서,슬램덩크 신장재편판 3,160820675 ,9791133487530 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180822,"7,000","6,300",350점,21636,만화
25,국내도서,슬램덩크 신장재편판 19,172142473 ,9791133487691 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"7,000","6,300",350점,20638,만화
26,국내도서,슬램덩크 신장재편판 5,160820790 ,9791133487554 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180822,"7,000","6,300",350점,21284,만화
27,국내도서,"돈의 속성 (300쇄 리커버 에디션, 양장)",288845971 ,9791188331796 ,3320,김승호 지음,스노우폭스북스,20200615,"17,800","16,020",890점,83481,경제경영
28,국내도서,슬램덩크 신장재편판 18,172142360 ,9791133487684 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"6,500","5,850",320점,20359,만화
29,국내도서,슬램덩크 신장재편판 4,160820749 ,9791133487547 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180822,"7,000","6,300",350점,21276,만화
30,국내도서,슬램덩크 신장재편판 17,172142301 ,9791133487677 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"7,000","6,300",350점,20358,만화
31,국내도서,슬램덩크 신장재편판 16,172142226 ,9791133487660 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"7,000","6,300",350점,20386,만화
32,국내도서,슬램덩크 신장재편판 6,160821395 ,9791133487561 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180822,"7,000","6,300",350점,20769,만화
33,국내도서,슬램덩크 챔프,307901966 ,9791169792974 ,,이노우에 다케히코 지음,대원씨아이(만화),20230106,"15,000","13,500",750점,10610,만화
34,국내도서,슬램덩크 신장재편판 7,166255069 ,9791133487578 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180918,"7,500","6,750",370점,20526,만화
35,국내도서,슬램덩크 신장재편판 9,166255193 ,9791133487592 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180918,"7,500","6,750",370점,20177,만화
36,국내도서,슬램덩크 신장재편판 15,172142169 ,9791133487653 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20181114,"7,500","6,750",370점,19855,만화
37,국내도서,슬램덩크 신장재편판 8,166255137 ,9791133487585 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180918,"7,500","6,750",370점,20245,만화
38,국내도서,슬램덩크 신장재편판 10,166255255 ,9791133487608 ,7830,이노우에 타케히코 지음,대원씨아이(만화),20180918,"7,000","6,300",350점,19975,만화
