순번/순위,구분,상품명,ItemId,ISBN13,부가기호,저자/아티스트,출판사/제작사,출간일,정가,판매가,마일리지,세일즈포인트,대표분류(대분류명)
1.0,국내도서,소년이 온다,40869703,9788936434120.0,3810.0,한강 지음,창비,20140519.0,"15,000","13,500",750점,912199.0,소설/시/희곡
2.0,국내도서,작별하지 않는다,278770576,9788954682152.0,3810.0,한강 지음,문학동네,20210909.0,"16,800","15,120",840점,585615.0,소설/시/희곡
3.0,국내도서,채식주의자 (리마스터판),291370219,9788936434595.0,3810.0,한강 지음,창비,20220328.0,"17,000","15,300",850점,522162.0,소설/시/희곡
4.0,국내도서,모순,25843736,9788998441012.0,3810.0,양귀자 지음,쓰다,20130401.0,"13,000","11,700",650점,234484.0,소설/시/희곡
5.0,국내도서,흰,143220344,9788954651134.0,3810.0,"한강 지음, 최진혁 사진",문학동네,20180425.0,"14,500","13,050",720점,173809.0,소설/시/희곡
6.0,국내도서,서랍에 저녁을 넣어 두었다,33355947,9788932024639.0,3810.0,한강 지음,문학과지성사,20131115.0,"12,000","10,800",600점,189028.0,소설/시/희곡
7.0,국내도서,급류,307692409,9788937473401.0,4810.0,정대건 지음,민음사,20221222.0,"14,000","12,600",700점,101291.0,소설/시/희곡
8.0,국내도서,스토너,51001915,9788925554990.0,3840.0,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20150102.0,"16,800","15,120",840점,117268.0,소설/시/희곡
9.0,국내도서,희랍어 시간,13849130,9788954616515.0,3810.0,한강 지음,문학동네,20111110.0,"13,000","11,700",650점,123144.0,소설/시/희곡
10.0,국내도서,데미안 (오리지널 초판본 표지디자인),98710881,9791187011590.0,4850.0,"헤르만 헤세 지음, 이미영 옮김, 김선형",코너스톤,20170101.0,"3,300","2,970",160점,88536.0,소설/시/희곡
11.0,국내도서,작은 땅의 야수들,317934373,9791130642574.0,3840.0,"김주혜 지음, 박소현 옮김",다산책방,20230619.0,"18,000","16,200",900점,57613.0,소설/시/희곡
12.0,국내도서,일본어 무작정 따라하기 완전판,298773222,9791165219956.0,3730.0,후지이 아사리 지음,길벗이지톡,20220805.0,"26,000","23,400","1,300점",78134.0,외국어
13.0,국내도서,코스모스,870950,9788983711892.0,3400.0,"칼 세이건 지음, 홍승수 옮김",사이언스북스,20061220.0,"19,900","17,910",990점,140425.0,과학
14.0,국내도서,삼국지 원전 완역판 세트 - 전10권,234135451,9791190669030.0,4830.0,"요시카와 에이지 엮음, 바른번역 옮김, 나관중 원작",코너스톤,20200309.0,"22,000","19,800","1,100점",43935.0,소설/시/희곡
15.0,국내도서,돈의 심리학 (30만 부 기념 스페셜 에디션),328520781,9791191056372.0,3320.0,"모건 하우절 지음, 이지연 옮김",인플루엔셜(주),20210113.0,"19,800","17,820",990점,108283.0,경제경영
16.0,국내도서,싯다르타,329596,9788937460586.0,4850.0,"헤르만 헤세 지음, 박병덕 옮김",민음사,20020120.0,"8,000","7,200",400점,70774.0,소설/시/희곡
18.0,국내도서,사피엔스,314240466,9788934972464.0,3900.0,"유발 하라리 지음, 조현욱 옮김, 이태수 감수",김영사,20230401.0,"26,800","24,120","1,340점",141968.0,인문학
19.0,국내도서,"데일 카네기 인간관계론 + 자기관리론 + 성공대화론 (합본, 무선)",238429094,9791164452712.0,3320.0,"데일 카네기 지음, 베스트트랜스 옮김",더스토리,20200510.0,"8,800","7,920",440점,44697.0,자기계발
20.0,국내도서,줬으면 그만이지,307270319,9791186351543.0,3120.0,김주완 지음,피플파워,20230101.0,"20,000","18,000","1,000점",62713.0,인문학
21.0,국내도서,긴긴밤,263027170,9788954677158.0,73810.0,루리 지음,문학동네,20210203.0,"12,500","11,250",620점,139112.0,어린이
22.0,국내도서,ETS 토익 단기 공략 750+ (LC + RC),249196467,9788917235944.0,13740.0,ETS 지음,(주)YBM(와이비엠),20200820.0,"18,000","16,200",900점,70313.0,외국어
23.0,국내도서,소년과 두더지와 여우와 말,236826464,9788997381678.0,7840.0,"찰리 맥커시 지음, 이진경 옮김",상상의힘,20200420.0,"18,000","16,200",900점,60110.0,에세이
24.0,국내도서,만화로 보는 3분 철학 1 : 서양 고대 철학편,274349624,9791190776752.0,3160.0,김재훈.서정욱 지음,카시오페아,20210702.0,"16,000","14,400",800점,54337.0,인문학
25.0,국내도서,ETS 토익기출 파트별 VOCA 보카,307463655,9788917237481.0,13740.0,ETS 지음,(주)YBM(와이비엠),20221223.0,"13,000","11,700",650점,61059.0,외국어
26.0,국내도서,이기적 유전자,170482558,9788932473901.0,3470.0,"리처드 도킨스 지음, 홍영남.이상임 옮김",을유문화사,20181020.0,"20,000","18,000","1,000점",112585.0,과학
27.0,국내도서,EBS 다큐프라임 자본주의,31642609,9788957365793.0,3320.0,EBS 자본주의 제작팀 지음,가나출판사,20130927.0,"22,000","19,800","1,100점",80222.0,경제경영
28.0,국내도서,디 에센셜 한강 (무선 보급판),317840073,9788954693462.0,3810.0,한강 지음,문학동네,20230601.0,"17,000","15,300",850점,64781.0,소설/시/희곡
29.0,국내도서,나는 소망한다 내게 금지된 것을,189365205,9788998441074.0,3810.0,양귀자 지음,쓰다,20190420.0,"15,000","13,500",750점,49287.0,소설/시/희곡
30.0,국내도서,"바람이 분다, 가라",6467598,9788932020006.0,3810.0,한강 지음,문학과지성사,20100226.0,"14,000","12,600",700점,61762.0,소설/시/희곡
31.0,국내도서,데미안,260084,9788937460449.0,4850.0,"헤르만 헤세 지음, 전영애 옮김",민음사,20001220.0,"8,000","7,200",400점,102617.0,소설/시/희곡
32.0,국내도서,홍학의 자리,275879438,9788954681155.0,3810.0,정해연 지음,엘릭시르,20210726.0,"14,000","12,600",700점,53755.0,소설/시/희곡
33.0,국내도서,사피엔스 : 그래픽 히스토리 Vol.1,256860565,9788934991328.0,7900.0,"다니엘 카사나브 그림, 김명주 옮김, 유발 하라리 원작, 다비드 반데르묄렝 각색",김영사,20201123.0,"17,800","16,020",890점,47116.0,인문학
34.0,국내도서,어떻게 민주주의는 무너지는가,162341421,9791160560589.0,3340.0,"스티븐 레비츠키.대니얼 지블랫 지음, 박세연 옮김",어크로스,20181002.0,"16,800","15,120",840점,32281.0,사회과학
35.0,국내도서,데일 카네기 인간관계론 (50만부 돌파 초판 무삭제 완역본),209457983,9791187142560.0,3320.0,"데일 카네기 지음, 임상훈 옮김",현대지성,20191007.0,"11,500","10,350",570점,80707.0,자기계발
36.0,국내도서,초판본 어린 왕자 (무선),280504630,9791164455300.0,3860.0,"앙투안 드 생텍쥐페리 지음, 김미정 옮김",더스토리,20211004.0,"2,990","2,700",140점,45189.0,소설/시/희곡
37.0,국내도서,총 균 쇠,316294397,9788934942467.0,3900.0,"제레드 다이아몬드 지음, 강주헌 옮김",김영사,20230510.0,"29,800","26,820","1,490점",52117.0,인문학
38.0,국내도서,구의 증명,315614621,9791167372864.0,3810.0,최진영 지음,은행나무,20230426.0,"12,000","10,800",600점,60074.0,소설/시/희곡
39.0,국내도서,지적 대화를 위한 넓고 얕은 지식 1,228727924,9791190313186.0,3100.0,채사장 지음,웨일북,20200201.0,"19,000","17,100",950점,68061.0,인문학
40.0,국내도서,언젠가 우리가 같은 별을 바라본다면,285132160,9791191061048.0,43810.0,"차인표 지음, 제딧 그림",해결책,20211215.0,"12,000","10,800",600점,76558.0,청소년
41.0,국내도서,진짜 쓰는 실무 엑셀,288198356,9791191600704.0,13000.0,오빠두(전진권) 지음,제이펍,20220215.0,"21,000","18,900","1,050점",75432.0,컴퓨터/모바일
43.0,국내도서,맡겨진 소녀,315552626,9791130698199.0,3840.0,"클레어 키건 지음, 허진 옮김",다산책방,20230426.0,"13,000","11,700",650점,76822.0,소설/시/희곡
44.0,국내도서,여수의 사랑,173930433,9788932034812.0,3810.0,한강 지음,문학과지성사,20181109.0,"16,000","14,400",800점,51909.0,소설/시/희곡
46.0,국내도서,죽음의 수용소에서,242120194,9788936811549.0,3180.0,"빅터 프랭클 지음, 이시형 옮김",청아출판사,20200530.0,"9,800","8,820",490점,64400.0,인문학
47.0,국내도서,"스토너 (초판본, 양장)",243703168,9788925538297.0,3840.0,"존 윌리엄스 지음, 김승욱 옮김",알에이치코리아(RHK),20200624.0,"18,000","16,200",900점,44508.0,소설/시/희곡
48.0,국내도서,JLPT 일본어능력시험 한권으로 끝내기 N3,280870672,9788927712435.0,14730.0,이치우. 기타지마 치즈코 지음,다락원,20211011.0,"27,000","24,300","1,350점",45387.0,외국어
49.0,국내도서,한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),285716191,9788965424628.0,13740.0,해커스어학연구소 지음,해커스어학연구소(Hackers),20230807.0,"19,800","17,820",990점,41389.0,외국어
50.0,국내도서,물고기는 존재하지 않는다,284657330,9791189327156.0,3400.0,"룰루 밀러 지음, 정지인 옮김",곰출판,20211217.0,"17,000","15,300",850점,100214.0,과학
